Date,Close
2016-03-07,69.18
2016-03-08,66.87
2016-03-09,68.49
2016-03-10,69.25
2016-03-11,70.32
2016-03-14,70.89
2016-03-15,70.78
2016-03-16,72.06
2016-03-17,73.21
2016-03-18,72.44
2016-03-21,71.24
2016-03-22,71.29
2016-03-23,68.23
2016-03-24,68.46
2016-03-28,68.4
2016-03-29,69.3
2016-03-30,68.97
2016-03-31,68.47
2016-04-01,67.48
2016-04-04,67.24
2016-04-05,62.42
2016-04-06,62.76
2016-04-07,61.26
2016-04-08,60.63
2016-04-11,59.96
2016-04-12,60.34
2016-04-13,61.65
2016-04-14,60.42
2016-04-15,59.59
2016-04-18,60.36
2016-04-19,60.52
2016-04-20,61.72
2016-04-21,61.94
2016-04-22,61.54
2016-04-25,60.39
2016-04-26,61.24
2016-04-27,62.03
2016-04-28,57.02
2016-04-29,55.84
2016-05-02,54.85
2016-05-03,52.85
2016-05-04,51.78
2016-05-05,51.96
2016-05-06,51.8
2016-05-09,50.6
2016-05-10,51.27
2016-05-11,50.74
2016-05-12,49.09
2016-05-13,48.56
2016-05-16,49.07
2016-05-17,48.51
2016-05-18,48.71
2016-05-19,47.09
2016-05-20,48.02
2016-05-23,49.04
2016-05-24,50.46
2016-05-25,50.56
2016-05-26,49.73
2016-05-27,49.9
2016-05-31,49.65
2016-06-01,50.07
2016-06-02,49.84
2016-06-03,49.25
2016-06-06,50.15
2016-06-07,50.55
2016-06-08,50.93
2016-06-09,50.45
2016-06-10,48.51
2016-06-13,47.79
2016-06-14,47.89
2016-06-15,48.2
2016-06-16,48.39
2016-06-17,48.52
2016-06-20,49.32
2016-06-21,48.91
2016-06-22,48.62
2016-06-23,48.65
2016-06-24,46.02
2016-06-27,44.23
2016-06-28,46.37
2016-06-29,48.09
2016-06-30,48.48
2016-07-01,48.49
2016-07-05,47.77
2016-07-06,49.13
2016-07-07,44.34
2016-07-08,45.6
2016-07-11,46.49
2016-07-12,46.99
2016-07-13,46.2
2016-07-14,47.35
2016-07-15,47.73
2016-07-18,47.95
2016-07-19,47.74
2016-07-20,48.43
2016-07-21,48.33
2016-07-22,48.12
2016-07-25,47.99
2016-07-26,48.58
2016-07-27,48.55
2016-07-28,47.13
2016-07-29,46.68
2016-08-01,47.38
2016-08-02,47.76
2016-08-03,49.24
2016-08-04,43.72
2016-08-05,44.11
2016-08-08,43.81
2016-08-09,41.66
2016-08-10,38.66
2016-08-11,39.01
2016-08-12,38.79
2016-08-15,38.33
2016-08-16,37.74
2016-08-17,36.89
2016-08-18,37.52
2016-08-19,37.8
2016-08-22,37.68
2016-08-23,37.45
2016-08-24,37.32
